,y_pred,y_test
24141,62.34257018155651,79.0
26865,123.02499965497225,129.0
22772,41.76534092601702,72.0
25624,88.82658499850919,34.0
21690,66.251773165958,61.0
23902,197.01415899654054,198.0
25507,93.40650628628484,26.0
4932,94.58775163603573,124.0
14505,35.49890344074879,25.0
24299,24.16835336625688,27.0
15789,50.42406701580708,38.0
18212,50.809032700416445,53.0
2974,132.2101672924967,114.0
4513,26.817482910331986,61.0
30208,79.14442377083226,22.0
14807,36.574677234307,59.0
16176,24.16835336625688,13.0
12724,35.25312204162368,41.0
7747,69.33290931375309,89.0
27321,56.023345540650816,60.0
11178,102.10848611982658,87.0
9406,109.92728629491532,139.0
30211,82.93793574464226,33.0
20627,59.36827481794084,42.0
17954,45.685317163411845,22.0
9520,35.50794788096134,34.0
24646,69.52053833016646,42.0
16794,24.246782813182616,25.0
22464,103.4181537081515,112.0
20707,81.93640126148556,154.0
23166,134.38028188769175,162.0
21178,51.35561293371357,52.0
20353,68.8613901859812,67.0
10328,94.47710336770874,137.0
15918,40.249605358031964,21.0
16650,27.584853242295434,21.0
19892,56.421530287875115,61.0
23988,118.82891735088701,72.0
16485,46.95498652612489,38.0
3027,100.54377092921355,102.0
24864,40.708443029298024,21.0
7672,41.34205741009164,132.0
14273,24.246782813182616,17.0
16088,56.14938503284511,74.0
11333,102.61405020239147,72.0
24194,35.700843160666565,22.0
22341,60.80165587907568,46.0
28762,95.03961166493899,93.0
10933,27.761696719067075,30.0
20063,69.72370200525228,99.0
15741,80.44069421451492,42.0
9872,62.64019476008628,34.0
13238,38.2353547578,42.0
29350,63.96902083125265,49.0
6440,51.4513482044051,70.0
11765,98.73156982886964,89.0
25176,30.772877656355767,16.0
5662,80.59108859912263,97.0
22294,60.548121774058366,52.0
7515,81.85079949194615,88.0
1959,24.784480698469178,17.0
14872,33.835646498764305,46.0
12457,30.549336878845317,52.0
1109,67.80613801900685,34.0
14999,55.87411283982175,50.0
27556,53.285962014710485,29.0
17090,30.549336878845317,59.0
27854,45.69492106846411,37.0
11097,60.657851698587685,65.0
17585,50.50610578371251,26.0
8193,46.34444782194887,65.0
2266,46.541639116491,42.0
2168,37.49322972822185,13.0
16909,38.27623195662032,38.0
11175,82.72174622371496,80.0
29761,82.2713618404966,76.0
28268,56.40250863136575,68.0
14573,127.25292057449559,91.0
14790,57.223619459647146,42.0
23305,91.59094412050237,142.0
3847,73.21989314385355,80.0
10428,40.29457847976328,15.0
13512,49.46089739379554,79.0
4813,75.00048149575777,61.0
27686,50.11377143287343,53.0
2346,90.70981752531257,70.0
8029,94.56584872563222,35.0
13059,60.72829066600568,73.0
7168,67.98123358489603,91.0
26624,28.317001793818516,17.0
18483,193.1904266199854,239.0
16488,31.768375391338367,16.0
19792,59.278650131499916,57.0
19828,47.11477609311134,19.0
29433,83.74390394216645,82.0
8466,29.35265437738171,27.0
7502,94.46063208902162,66.0
1610,42.173683442445736,93.0
2622,24.40763674257091,13.0
2497,27.665406006014397,7.0
20398,30.4550268707873,28.0
21036,45.81991487817341,48.0
18358,27.094381450791488,18.0
10696,48.72783671119782,8.0
10943,38.66125571343205,55.0
28294,77.43706082076852,70.0
15484,38.79752750193721,46.0
7337,105.95086423804624,74.0
16366,24.16835336625688,18.0
1255,38.64811798366592,97.0
821,159.6658816578503,109.0
18292,132.58529754721442,114.0
6267,75.2996014142136,93.0
15692,53.35546745110895,50.0
1668,106.95676525705528,158.0
29903,52.26287916887503,44.0
7132,37.5875759611393,72.0
29965,68.43942745095244,46.0
20499,24.33331197740446,17.0
14192,83.28304540863374,119.0
13744,49.08733411225155,95.0
9237,31.768375391338367,19.0
21221,59.40249844070392,48.0
25167,74.21139722632857,60.0
29314,27.665406006014397,46.0
11150,82.51525653209794,68.0
29772,72.81897847207502,96.0
20453,24.16835336625688,18.0
24157,79.23285508269588,82.0
2856,31.360406769327223,30.0
17846,49.50062355013171,107.0
28431,24.16835336625688,25.0
6717,49.05846712217618,64.0
19631,55.81740283042761,68.0
27880,28.9819486165997,8.0
6462,44.88614488254036,60.0
22577,59.284687016447464,21.0
14860,45.56361846123452,72.0
28675,129.9613008750922,162.0
14020,69.80029881913292,65.0
14733,24.16835336625688,13.0
96,29.007361484062915,42.0
6508,51.87077568347013,112.0
17884,50.83431481709915,91.0
22421,94.12201539580857,188.0
16293,112.06738504340859,161.0
28279,74.01132882335541,173.0
18459,184.45220649865783,216.0
28084,58.53282906482416,51.0
11841,72.26231082628917,28.0
27676,54.04121505232592,102.0
21399,66.2303923064617,61.0
18697,24.32282474258011,13.0
3580,25.980721605088505,30.0
24871,42.74443166062837,9.0
10090,54.66665026115187,42.0
2764,36.9522149427394,60.0
25733,46.88140990687807,34.0
6442,57.0567660037209,62.0
15506,42.515169889657024,45.0
20591,80.91815965179448,25.0
28988,107.35474546160489,70.0
30310,138.90010442986417,74.0
22012,38.5774668462717,114.0
8819,34.096785465101455,63.0
21759,61.995201045274214,55.0
5561,140.6021733495488,93.0
8500,25.10391068593999,25.0
5214,61.95792560330924,43.0
11408,59.58196804128851,38.0
12484,78.49177336434475,134.0
20717,157.01149510110017,170.0
19959,44.761151072831055,34.0
22982,113.91140643961847,124.0
21802,108.58885328866693,132.0
4449,39.97305475682267,40.0
24786,61.01953374199795,38.0
12058,24.656058957741767,70.0
5139,60.951448207129644,84.0
4484,49.30858360063557,106.0
12088,33.32617220523326,73.0
12307,32.39148283575254,43.0
16064,24.16835336625688,13.0
9226,39.17447845173093,25.0
20565,68.4928357239123,39.0
762,68.82919394009585,65.0
